symbol,price,date
QTUMUSDT,7.944,2022-04-05 20:16:56
XEMBTC,2.54e-06,2022-04-05 20:16:56
XEMETH,3.593e-05,2022-04-05 20:16:56
XEMBNB,0.002441,2022-04-05 20:16:56
WANBTC,1.253e-05,2022-04-05 20:16:56
WANETH,0.000167,2022-04-05 20:16:56
WANBNB,0.00181,2022-04-05 20:16:56
WPRBTC,2.7e-07,2022-04-05 20:16:56
WPRETH,4.02e-05,2022-04-05 20:16:56
QLCBTC,4.3e-07,2022-04-05 20:16:56
QLCETH,6.03e-06,2022-04-05 20:16:56
SYSBTC,1.444e-05,2022-04-05 20:16:56
SYSETH,0.00011047,2022-04-05 20:16:56
SYSBNB,0.001635,2022-04-05 20:16:56
QLCBNB,0.000922,2022-04-05 20:16:56
GRSBTC,1.626e-05,2022-04-05 20:16:56
GRSETH,0.00076455,2022-04-05 20:16:56
ADAUSDT,1.179,2022-04-05 20:16:56
ADABNB,0.002627,2022-04-05 20:16:56
CLOAKBTC,0.0001555,2022-04-05 20:16:56
CLOAKETH,0.004142,2022-04-05 20:16:56
GNTBTC,6.78e-06,2022-04-05 20:16:56
GNTETH,0.00022071,2022-04-05 20:16:56
GNTBNB,0.002439,2022-04-05 20:16:56
LOOMBTC,2.14e-06,2022-04-05 20:16:56
LOOMETH,2.843e-05,2022-04-05 20:16:56
LOOMBNB,0.000885,2022-04-05 20:16:56
XRPUSDT,0.8219,2022-04-05 20:16:56
BCNBTC,2.2e-07,2022-04-05 20:16:56
BCNETH,7.07e-06,2022-04-05 20:16:56
BCNBNB,2e-05,2022-04-05 20:16:56
REPBTC,0.000347,2022-04-05 20:16:56
REPBNB,0.4467,2022-04-05 20:16:56
BTCTUSD,45878.73,2022-04-05 20:16:56
TUSDBTC,0.00025971,2022-04-05 20:16:56
ETHTUSD,3446.01,2022-04-05 20:16:56
TUSDETH,0.00762097,2022-04-05 20:16:56
TUSDBNB,0.06777,2022-04-05 20:16:56
ZENBTC,0.00102,2022-04-05 20:16:56
ZENETH,0.01358,2022-04-05 20:16:56
ZENBNB,0.1042,2022-04-05 20:16:56
SKYBTC,8.29e-06,2022-04-05 20:16:56
SKYETH,0.00222,2022-04-05 20:16:56
SKYBNB,0.03022,2022-04-05 20:16:56
EOSUSDT,2.793,2022-04-05 20:16:56
EOSBNB,0.00623,2022-04-05 20:16:56
CVCBTC,7.61e-06,2022-04-05 20:16:56
CVCETH,9.93e-05,2022-04-05 20:16:56
CVCBNB,0.002112,2022-04-05 20:16:56
THETABTC,8.25e-05,2022-04-05 20:16:56
THETAETH,0.001098,2022-04-05 20:16:56
THETABNB,0.00842,2022-04-05 20:16:56
XRPBNB,0.001831,2022-04-05 20:16:56
TUSDUSDT,0.9999,2022-04-05 20:16:56
IOTAUSDT,0.8308,2022-04-05 20:16:56
XLMUSDT,0.2277,2022-04-05 20:16:56
IOTXBTC,2.08e-06,2022-04-05 20:16:56
IOTXETH,2.765e-05,2022-04-05 20:16:56
QKCBTC,5.3e-07,2022-04-05 20:16:56
QKCETH,6.98e-06,2022-04-05 20:16:56
AGIBTC,6.68e-06,2022-04-05 20:16:56
AGIETH,7.363e-05,2022-04-05 20:16:56
AGIBNB,0.000772,2022-04-05 20:16:56
NXSBTC,7.22e-06,2022-04-05 20:16:56
NXSETH,0.000773,2022-04-05 20:16:56
NXSBNB,0.01087,2022-04-05 20:16:56
ENJBNB,0.003834,2022-04-05 20:16:56
DATABTC,1.93e-06,2022-04-05 20:16:56
DATAETH,2.554e-05,2022-04-05 20:16:56
ONTUSDT,0.6203,2022-04-05 20:16:56
TRXBNB,0.0001558,2022-04-05 20:16:56
